Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model
1,lower,-0.58698790506537,-0.554621735817408,-0.523659329511589,EMD
1,mean,-0.419198776010889,-0.411848363521744,-0.378843818102641,EMD
1,upper,-0.352013624934568,-0.334610554211193,-0.289282928914746,EMD
2,lower,-0.512248358104716,-0.462448425467547,-0.4640284010185,EMD
2,mean,-0.366880674334243,-0.327630030127743,-0.322338893020293,EMD
2,upper,-0.294633576342166,-0.259725588911805,-0.234053962446255,EMD
3,lower,-0.510733296265347,-0.463641712455774,-0.467221595927193,EMD
3,mean,-0.366265230995293,-0.320739024230596,-0.320752282592115,EMD
3,upper,-0.28599926782337,-0.246947101153054,-0.229071681388491,EMD
4,lower,-0.487278966469776,-0.441921695300862,-0.448126534819401,EMD
4,mean,-0.359508119633155,-0.313953976124741,-0.316432009769231,EMD
4,upper,-0.263771732254096,-0.227829396335535,-0.216906978915598,EMD
5,lower,-0.454532202857299,-0.410227018728254,-0.415277747022573,EMD
5,mean,-0.348185746695652,-0.306938139218174,-0.311293806292573,EMD
5,upper,-0.240916425514289,-0.21169323602654,-0.204427948215103,EMD
6,lower,-0.42996945486071,-0.38014859469483,-0.385650262989518,EMD
6,mean,-0.322284995012425,-0.287940230412475,-0.29203701206573,EMD
6,upper,-0.222109763574436,-0.192822976005793,-0.188293437430512,EMD
