Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model
1,lower,-0.03441582144651,-0.018108190131379,0.000208914617498002,MC
1,mean,-0.0221392331936742,-0.00873038528138491,0.0155728387216159,MC
1,upper,-0.0121352509844993,-0.00109327846824034,0.0276269053922103,MC
2,lower,-0.0193136670107981,-0.00570607568270353,0.00366102588736297,MC
2,mean,-0.0100694052201938,0.00470962990040123,0.0154516239268433,MC
2,upper,0.000325555313499492,0.0130048885081713,0.0263985696531835,MC
3,lower,-0.0154112357060674,0.00520353201257954,0.00664107780788429,MC
3,mean,-0.00167743098889356,0.0162250639475342,0.0174607905570692,MC
3,upper,0.0115339186221307,0.0252344471332576,0.0297086816223778,MC
4,lower,-0.00775725045995462,0.0137336119689651,0.00923007342083631,MC
4,mean,0.00653099089177796,0.0276319247342015,0.0216132015553487,MC
4,upper,0.0205305220546137,0.0449356863305904,0.0351582493476674,MC
5,lower,0.000331764409809349,0.0219894580113713,0.0141836982833105,MC
5,mean,0.0163785781689706,0.0403408731795316,0.0285196983120886,MC
5,upper,0.0307831719274781,0.0613572653609927,0.0465982452383447,MC
6,lower,0.0145652235356252,0.0310964239375166,0.0214059232808737,MC
6,mean,0.0280577122500982,0.0538908889559706,0.0368091109804816,MC
6,upper,0.0424481882961232,0.0830634217761412,0.0583712547534803,MC
