Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model
1,lower,0.0623944244799489,0.0852460553591765,-0.0723686103417151,VAR
1,mean,0.106545528517321,0.143299003703915,-0.0214103769734142,VAR
1,upper,0.163966508718428,0.207554607106174,0.0560607664381159,VAR
2,lower,0.0508126834968556,0.0735085656108993,0.047428499633778,VAR
2,mean,0.0947333037978708,0.119170435378775,0.0919749433460002,VAR
2,upper,0.13956650121725,0.163526446337848,0.136979288330535,VAR
3,lower,0.0480038138505823,0.0716752711984428,0.0687079679596567,VAR
3,mean,0.102792725439221,0.126369818194141,0.11963574147616,VAR
3,upper,0.146939742492478,0.168917668458956,0.164030224468459,VAR
4,lower,0.0541229290053122,0.0812230186206441,0.0795060320914066,VAR
4,mean,0.114562451707699,0.136051590226812,0.131211348958932,VAR
4,upper,0.168612965345748,0.186014743711864,0.180697043343086,VAR
5,lower,0.0577751807546686,0.0833299257133152,0.0788963367590221,VAR
5,mean,0.117101146444709,0.138895618163036,0.129445020605768,VAR
5,upper,0.180992381342812,0.201321873751324,0.185483558306787,VAR
6,lower,0.0714884926770884,0.0930211639238388,0.086535146278949,VAR
6,mean,0.129839304149971,0.148560888061558,0.13529168474097,VAR
6,upper,0.200191858230042,0.221899382005195,0.197076394393532,VAR
