Horizon,model,MAE,RMSE,Pinball,,,,,,,
1,EMD,0.093807228,0.147337103,0.03698199,,,,,,,
1,MC,0.069313578,0.105524511,0.026774482,,,,,,,
1,Persistence,0.06783754,0.104683393,0.027215365,,,,,,,
1,VAR,0.064744561,0.097976485,0.02986395,,,,Persistence,VAR,MC,EMD
2,EMD,0.143245123,0.209688325,0.054106111,,,Persistence,0,-0.107792256,-0.018934129,0.267454132
2,MC,0.107330522,0.157429704,0.040849803,,,VAR,0.097303673,0,0.080211904,0.338733536
2,Persistence,0.106288723,0.158314023,0.041506151,,,MC,0.01858229,-0.087206939,0,0.281066512
2,VAR,0.100449249,0.146260911,0.039542261,,,EMD,-0.365102233,-0.512249683,-0.390949256,0
3,EMD,0.181471674,0.256973582,0.067265821,,,,,,,
3,MC,0.134134483,0.190989354,0.050408709,,,,,,,
3,Persistence,0.13389654,0.194287769,0.051298148,,,,,,,
3,VAR,0.124665976,0.176281231,0.047107491,,,,,,,
4,EMD,0.212291269,0.293825341,0.077761436,,,,,,,
4,MC,0.155884773,0.216373759,0.057890125,,,,,,,
4,Persistence,0.15694374,0.222822957,0.059174274,,,,,,,
4,VAR,0.143734224,0.198846911,0.053428227,,,,,,,
5,EMD,0.235627018,0.321160965,0.085650595,,,,,,,
5,MC,0.173478361,0.235841038,0.063746234,,,,,,,
5,Persistence,0.176403043,0.246198947,0.065642582,,,,,,,
5,VAR,0.159474587,0.216705831,0.058819915,,,,,,,
6,EMD,0.254276706,0.342523904,0.0917859,,,,,,,
6,MC,0.187733573,0.251031477,0.068477208,,,,,,,
6,Persistence,0.193292054,0.26605712,0.071157393,,,,,,,
6,VAR,0.172655509,0.231341804,0.063450246,,,,,,,
