Zone,Horizon,VAR_opt,EMD_opt
1,1,const,const
1,2,exp,exp
1,3,exp,exp
1,4,exp,exp
1,5,exp,const
1,6,exp,exp
2,1,const,const
2,2,exp,exp
2,3,exp,exp
2,4,exp,exp
2,5,exp,exp
2,6,exp,exp
3,1,const,const
3,2,exp,const
3,3,exp,const
3,4,exp,const
3,5,exp,const
3,6,exp,const
4,1,const,exp
4,2,exp,exp
4,3,exp,exp
4,4,exp,exp
4,5,exp,exp
4,6,exp,exp
5,1,const,exp
5,2,exp,exp
5,3,exp,exp
5,4,exp,exp
5,5,exp,exp
5,6,exp,exp
6,1,const,exp
6,2,exp,exp
6,3,exp,exp
6,4,exp,exp
6,5,exp,exp
6,6,exp,exp
7,1,const,exp
7,2,exp,exp
7,3,exp,exp
7,4,exp,exp
7,5,exp,exp
7,6,exp,exp
8,1,const,const
8,2,exp,exp
8,3,exp,exp
8,4,exp,exp
8,5,exp,exp
8,6,exp,exp
9,1,const,exp
9,2,exp,exp
9,3,exp,exp
9,4,exp,exp
9,5,exp,exp
9,6,exp,exp
10,1,const,exp
10,2,exp,exp
10,3,exp,exp
10,4,exp,exp
10,5,exp,exp
10,6,exp,exp
