Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,-0.413940760740856,-0.471214079295718,-0.380759267446453,EMD,6
1,mean,-0.382749320589937,-0.430393806314187,-0.34990276383296,EMD,6
1,upper,-0.352646673347091,-0.389347227328927,-0.320848370505287,EMD,6
2,lower,-0.358864428379579,-0.339115629574786,-0.30280340892174,EMD,6
2,mean,-0.335342029422665,-0.316056268649883,-0.281432218132638,EMD,6
2,upper,-0.311472338716905,-0.291522583277467,-0.258654911282504,EMD,6
3,lower,-0.343801316393702,-0.312679468561822,-0.291179497684138,EMD,6
3,mean,-0.318893116998394,-0.291260488602981,-0.269491647946452,EMD,6
3,upper,-0.298533768354403,-0.270260123188983,-0.250057815019817,EMD,6
4,lower,-0.323403104678989,-0.294617855308065,-0.283293045155903,EMD,6
4,mean,-0.302120302158677,-0.276009183716124,-0.263780661016796,EMD,6
4,upper,-0.281785835355523,-0.2576349699661,-0.245472789793759,EMD,6
5,lower,-0.297041976320314,-0.26894304077929,-0.268021315086388,EMD,6
5,mean,-0.277393287018633,-0.251940186983159,-0.249746584884957,EMD,6
5,upper,-0.258238510828638,-0.234795606057952,-0.232151120599897,EMD,6
6,lower,-0.273396930630384,-0.245528572466413,-0.247607843948354,EMD,6
6,mean,-0.252940235829586,-0.228228994830389,-0.229309475602656,EMD,6
6,upper,-0.230604082739487,-0.210809649694968,-0.210786091744099,EMD,6
