Horizon,type,MAE_ss,RMSE_ss,pb_ss,Model,Zone
1,lower,0.0689785110923706,0.0876422763412452,-0.085516434954217,VAR,10
1,mean,0.0826206391599413,0.100499916652982,-0.0702949336604727,VAR,10
1,upper,0.0946559575099351,0.112394143197487,-0.0563699634983257,VAR,10
2,lower,0.0613151449701806,0.088999338399505,0.0703695621172365,VAR,10
2,mean,0.0743683374241233,0.100970336982543,0.081353751429943,VAR,10
2,upper,0.088422656774322,0.113638707363563,0.0927765762812994,VAR,10
3,lower,0.0855452962189805,0.112294983082126,0.107019330075921,VAR,10
3,mean,0.0994805300604167,0.124230402915853,0.118904476406549,VAR,10
3,upper,0.113370803013867,0.136280743159354,0.130577336514857,VAR,10
4,lower,0.117194086585406,0.142787424540906,0.131302129494458,VAR,10
4,mean,0.131530405790438,0.154932637168193,0.143771246161152,VAR,10
4,upper,0.145481875488594,0.16729961668906,0.156461465056844,VAR,10
5,lower,0.138705474820434,0.16543692609378,0.142990943485769,VAR,10
5,mean,0.153807770123575,0.177883490464188,0.156489597348298,VAR,10
5,upper,0.167022293621639,0.189112311981299,0.168437400124796,VAR,10
6,lower,0.154174452803504,0.183926361952394,0.149700337999746,VAR,10
6,mean,0.167891249303669,0.195802775762737,0.162779439469836,VAR,10
6,upper,0.181952382323298,0.206767462361556,0.175000271049121,VAR,10
