Nominal,Empirical,kfold,subset,upper,lower,flat_empirical,flat_upper,flat_lower,Model
0.05,0.0537608486017358,All,,0.0583413693346191,0.0491170443587271,0.00376084860173578,0.00834136933461909,-0.000882955641272901,Persistence
0.1,0.0823288331726133,All,,0.0882985776277724,0.0762385486981678,-0.0176711668273867,-0.0117014223722276,-0.0237614513018322,Persistence
0.15,0.111017357762777,All,,0.117767598842816,0.104026036644166,-0.0389826422372228,-0.0322324011571842,-0.0459739633558341,Persistence
0.2,0.144889103182257,All,,0.1524831243973,0.137897782063645,-0.0551108968177435,-0.0475168756027001,-0.0621022179363549,Persistence
0.25,0.179845708775313,All,,0.188289537126326,0.172733847637416,-0.0701542912246866,-0.061710462873674,-0.0772661523625844,Persistence
0.3,0.227097396335583,All,,0.235782304725169,0.218171407907425,-0.0729026036644166,-0.0642176952748312,-0.0818285920925747,Persistence
0.35,0.275916104146577,All,,0.285990236258438,0.26704737222758,-0.0740838958534233,-0.0640097637415622,-0.0829526277724204,Persistence
0.4,0.3324493731919,All,,0.342035318225651,0.321899108003857,-0.0675506268081003,-0.0579646817743491,-0.0781008919961428,Persistence
0.45,0.404773384763742,All,,0.414296046287367,0.394286403085824,-0.0452266152362584,-0.0357039537126326,-0.0557135969141755,Persistence
0.5,0.491682738669238,All,,0.503076783992286,0.480282666345227,-0.00831726133076183,0.0030767839922855,-0.0197173336547734,Persistence
0.55,0.621865959498554,All,,0.631997348119576,0.612084136933462,0.0718659594985535,0.0819973481195756,0.0620841369334619,Persistence
0.6,0.687560270009643,All,,0.696853905496625,0.676832208293153,0.0875602700096432,0.096853905496625,0.0768322082931534,Persistence
0.65,0.738428158148505,All,,0.748432979749277,0.727757352941176,0.0884281581485053,0.0984329797492768,0.0777573529411765,Persistence
0.7,0.786885245901639,All,,0.794663090646095,0.777965284474445,0.0868852459016394,0.0946630906460946,0.0779652844744455,Persistence
0.75,0.827507232401157,All,,0.834980713596914,0.820154291224687,0.0775072324011572,0.0849807135969142,0.0701542912246866,Persistence
0.8,0.860655737704918,All,,0.868129218900675,0.852085342333655,0.0606557377049179,0.068129218900675,0.0520853423336547,Persistence
0.85,0.892839922854388,All,,0.899108003857281,0.886255424300868,0.0428399228543876,0.0491080038572807,0.0362554243008679,Persistence
0.9,0.918514946962392,All,,0.924668514946962,0.912665742526519,0.0185149469623915,0.0246685149469624,0.0126657425265188,Persistence
0.95,0.947203471552555,All,,0.952025072324012,0.942794720347155,-0.00279652844744449,0.00202507232401161,-0.00720527965284479,Persistence
0.05,0.0271215043394407,All,,0.0308582449373192,0.023683100289296,-0.0228784956605593,-0.0191417550626808,-0.026316899710704,VAR
0.1,0.052917068466731,All,,0.0571992526518804,0.0480954676952748,-0.0470829315332691,-0.0428007473481196,-0.0519045323047252,VAR
0.15,0.0830520732883317,All,,0.0886601976856316,0.0772601253616201,-0.0669479267116683,-0.0613398023143684,-0.0727398746383799,VAR
0.2,0.119816779170685,All,,0.126084860173578,0.112819431051109,-0.0801832208293153,-0.0739151398264224,-0.087180568948891,VAR
0.25,0.16152362584378,All,,0.169611861137898,0.153326904532305,-0.0884763741562199,-0.0803881388621022,-0.0966730954676953,VAR
0.3,0.212150433944069,All,,0.221202989392478,0.203528809064609,-0.0878495660559306,-0.0787970106075217,-0.0964711909353905,VAR
0.35,0.274831243972999,All,,0.284233365477339,0.265549662487946,-0.075168756027001,-0.0657666345226615,-0.084450337512054,VAR
0.4,0.363428158148505,All,,0.372468659594986,0.352700096432015,-0.0365718418514947,-0.0275313404050145,-0.0472999035679846,VAR
